instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32 clique-par/t2 clique-par/t4 clique-par/t8 clique-par/t16 clique-par/t32r
mcs10_m2D_s100_AB09 1000000 1000000 294133 886133 1000000 1000000 1000002 482369 298403
mcs10_m2D_s40_AB00 1461 1469 107 66 766 426 237 152 114
mcs10_m2D_s40_AB01 682 491 56 31 317 175 81 58 47
mcs10_m2D_s40_AB02 12 250 13 50 22 17 16 16 20
mcs10_m2D_s40_AB03 73 444 28 14 66 46 34 27 25
mcs10_m2D_s40_AB04 66 1435 31 44 68 47 30 17 30
mcs10_m2D_s40_AB05 124 1108 33 68 120 76 50 35 32
mcs10_m2D_s40_AB06 979 322 82 23 485 262 165 108 74
mcs10_m2D_s40_AB07 224 874 45 67 114 72 43 39 34
mcs10_m2D_s40_AB08 86 44 26 12 57 32 20 19 26
mcs10_m2D_s40_AB09 37 987 21 94 26 20 18 21 22
mcs10_m2D_s50_AB00 1000000 69379 5219 622 1000000 661511 151114 17739 5188
mcs10_m2D_s50_AB01 1000000 342085 24281 1440 556135 139465 95809 40141 20504
mcs10_m2D_s50_AB02 43412 114899 1071 975 26124 9684 4591 1821 1057
mcs10_m2D_s50_AB03 197950 46305 7140 264 124017 44792 30932 13246 6950
mcs10_m2D_s50_AB04 2251 14583 95 155 1078 303 180 140 89
mcs10_m2D_s50_AB05 1000000 103329 42641 2159 1000000 555234 337586 90431 42121
mcs10_m2D_s50_AB06 16002 134302 218 1434 6815 1919 593 293 181
mcs10_m2D_s50_AB07 30999 237502 1223 39 18900 7311 4791 2166 1212
mcs10_m2D_s50_AB08 29586 62883 1227 786 17946 6694 3575 1928 1282
mcs10_m2D_s50_AB09 829761 131579 27264 5767 528935 176174 120217 53648 27881
mcs10_m2D_s60_AB00 686 1669 69 154 300 179 113 84 53
mcs10_m2D_s60_AB01 42533 35175 1501 983 21044 7876 5262 2293 1243
mcs10_m2D_s60_AB02 7194 19906 399 973 4258 1928 1231 615 382
mcs10_m2D_s60_AB03 16037 662026 696 16630 9332 3819 2361 1173 690
mcs10_m2D_s60_AB04 2009 22364 150 3629 1015 500 295 183 145
mcs10_m2D_s60_AB05 2020 54885 166 6491 1369 760 181 192 132
mcs10_m2D_s60_AB06 5177 20233 282 4039 2423 1141 580 367 268
mcs10_m2D_s60_AB07 307479 23245 4100 2125 100966 30985 15368 7059 4187
mcs10_m2D_s60_AB08 8360 8035 179 668 3180 913 789 450 170
mcs10_m2D_s60_AB09 5515 20785 260 1407 3508 1614 730 434 240
mcs10_m2D_s70_AB00 414603 389429 12227 38158 237783 34220 23990 17927 15254
mcs10_m2D_s70_AB01 257415 1000000 5087 42553 126607 45068 16181 7408 4297
mcs10_m2D_s70_AB02 226038 1000000 7484 69829 118147 41970 23329 11910 7895
mcs10_m2D_s70_AB03 1000000 737804 70887 37860 792626 242454 157186 87301 71519
mcs10_m2D_s70_AB04 20191 760954 1166 34165 13110 4625 4134 3143 1097
